institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,institution.primaryPhotoCardThumb,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
"University of California, Irvine",national-universities,UC Irvine UCI University of California Irvine,CA,Irvine,92697,,True,public,,#33,33,True,,7,21,47759,,3.4,,28661,3.7,,56228.0,N/A,N/A
"University of California, Los Angeles",national-universities,UCLA University of California Los Angeles,CA,Los Angeles,90095,,True,public,,#15,15,True,,14,9,46326,3.9,3.9,,32423,,,44526.0,N/A,N/A
"University of California, Merced",national-universities,,CA,Merced,95343,,True,public,,#60,60,True,,25,89,43777,3.6,2.2,,8344,,,56753.0,N/A,N/A
"University of California, Riverside",national-universities,UC Riverside University of California Riverside,CA,Riverside,92521,,True,public,,#76,76,True,,2,69,46266,3.9,2.6,,22903,3.2,,52010.0,N/A,N/A
"University of California, San Diego",national-universities,UCSD University of California San Diego,CA,La Jolla,92093,,True,public,,#28,28,True,,7,24,48630,3.9,3.8,,33096,3.4,,52885.0,N/A,N/A
"University of California, Santa Barbara",national-universities,UCSB UC Santa Barbara University of California Santa Barbara,CA,Santa Barbara,93106,,True,public,,#35,35,True,,6,26,45658,3.9,3.4,,23460,,,56733.0,N/A,N/A
"University of California, Santa Cruz",national-universities,UC Santa Cruz University of California Santa Cruz,CA,Santa Cruz,95064,,True,public,,#82,82,True,,16,47,47862,3.9,2.6,,17502,,,57885.0,N/A,N/A
University of Central Arkansas,national-universities,,AR,Conway,72035,,True,public,,#394-435,-1,False,19,,91,17258,3.6,,,7994,2.1,940,,940-1130,19-25
University of Central Florida,national-universities,UCF,FL,Orlando,32816,,True,public,,#124,124,True,25,21,41,22467,3.9,2.7,,58749,2.9,1200,33225.0,1200-1360,25-29
University of Central Missouri,regional-universities-midwest,,MO,Warrensburg,64093,midwest,True,public,,#67,67,True,18,25,71,18060,3.6,2.1,,7345,< 2.0,,26100.0,N/A,18-24
University of Central Oklahoma,regional-universities-west,,OK,Edmond,73034,west,True,public,,#67,67,True,18,,81,19121,,2.0,,11771,< 2.0,,,N/A,18-24
University of Charleston,national-universities,,WV,Charleston,25304,,True,private,,#395-435,-1,False,,,70,31900,,,,2162,,,,N/A,N/A
University of Chicago,national-universities,UChicago,IL,Chicago,60637,,True,private,,#12,12,True,34,34,5,65619,,,,7470,,1500,23975.0,1500-1580,34-35
University of Cincinnati,national-universities,,OH,Cincinnati,45221,,True,public,,#142,142,True,24,,86,27140,3.7,2.7,,29989,3.0,1160,,1160-1360,24-29
University of Cincinnati--UC Blue Ash College,regional-colleges-midwest,University of Cincinnati Raymond Walters College,OH,Cincinnati,45236,midwest,True,public,,Unranked,-2,False,,,,15588,,,,6133,,,,N/A,N/A
University of Colorado Boulder,national-universities,CU Boulder University of Colorado Boulder,CO,Boulder,80309,,True,public,,#105,105,True,26,12,79,41966,3.7,3.6,,31103,3.7,1160,48396.0,1160-1390,26-31
University of Colorado Colorado Springs,national-universities,UCCS University of Colorado Colorado Springs,CO,Colorado Springs,80918,,True,public,,#395-435,-1,False,,,95,27072,,2.2,,9540,2.7,,,N/A,N/A
University of Colorado Denver,national-universities,UC Denver University of Colorado Denver,CO,Denver,80217,,True,public,,#236,236,True,21,,75,35106,3.5,2.1,,14055,2.8,1030,,1030-1260,21-27
University of Connecticut,national-universities,UConn,CT,Storrs,06269,,True,public,,#58,58,True,28,20,55,43034,,2.9,,18983,3.4,1220,42660.0,1220-1440,28-33
University of Dallas,regional-universities-west,,TX,Irving,75062,west,True,private,,#18,18,True,23,62,59,50880,3.9,,,1453,2.5,1170,28168.0,1170-1400,23-31
University of Dayton,national-universities,,OH,Dayton,45469,,True,private,,#133,133,True,23,57,74,47600,3.8,2.4,,8416,2.6,1150,27740.0,1150-1360,23-30
University of Delaware,national-universities,,DE,Newark,19716,,True,public,,#76,76,True,26,44,72,39720,3.9,3.2,,18883,3.1,1190,41059.0,1190-1360,26-31
University of Denver,national-universities,DU,CO,Denver,80208,,True,private,,#124,124,True,28,40,78,59340,3.8,2.1,,6160,3.0,1220,35429.0,1220-1400,28-32
University of Detroit Mercy,national-universities,,MI,Detroit,48221,,True,private,,#185,185,True,21,59,91,31058,3.6,< 2.0,,3156,2.4,960,23664.0,960-1208,21-26
University of Dubuque,regional-universities-midwest,,IA,Dubuque,52001,midwest,True,private,,#84,84,True,19,,85,40065,3.4,,,1444,,950,,950-1160,19-24
University of Evansville,regional-universities-midwest,,IN,Evansville,47722,midwest,True,private,,#13,13,True,21,67,76,42676,3.7,2.4,,1717,2.2,1045,28297.0,1045-1300,21-28
University of Findlay,national-universities,,OH,Findlay,45840,,True,private,,#332,332,True,20,,86,40186,3.6,,,3906,,1020,,1020-1250,20-26
University of Florida,national-universities,,FL,Gainesville,32611,,True,public,,#28,28,True,28,19,23,28658,3.9,3.5,,34552,3.7,1300,31254.0,1300-1490,28-33
University of Georgia,national-universities,UGA,GA,Athens,30602,,True,public,,#47,47,True,27,12,43,30220,,2.6,,30714,3.8,1220,34376.0,1220-1420,27-32
University of Guam,regional-universities-west,,GU,Mangilao,96923,west,True,public,,#64,64,True,,,100,11414,3.4,,,2669,,,,N/A,N/A
University of Hartford,national-universities,,CT,West Hartford,06117,,True,private,,#304,304,True,22,,83,47648,,2.9,,3969,2.5,1090,,1090-1300,22-29
University of Hawaii at Hilo,national-universities,UH Hilo University of Hawaii Hilo,HI,Hilo,96720,,True,public,,#352,352,True,16,,51,20798,3.6,,,2593,2.3,960,,960-1200,16-21
University of Hawaii at Manoa,national-universities,UH Manoa University of Hawaii Manoa,HI,Honolulu,96822,,True,public,,#170,170,True,18,,73,34218,3.7,2.2,,14198,2.9,1070,,1070-1290,18-24
University of Hawaii--Maui College,regional-colleges-west,University of Hawaii Maui,HI,Kahului,96732,west,True,public,,Unranked,-2,False,,,,8420,,,,2724,,,,N/A,N/A
University of Hawaii--West Oahu,regional-colleges-west,UH West Oahu University of Hawaii West Oahu,HI,Kapolei,96707,west,True,public,,#15,15,True,16,,96,20544,3.4,,,2913,,1040,,1040-1150,16-22
University of Health Sciences & Pharmacy in St. Louis,health,St Louis College of Pharmacy Saint Louis College of Pharmacy,MO,St. Louis,63110,,True,private,,Unranked,-2,False,,,91,31280,,,,255,,,,N/A,N/A
University of Holy Cross,regional-universities-south,,LA,New Orleans,70131,south,True,private,,#86,86,True,16,,87,19470,,,,774,,,,N/A,16-21
University of Houston,national-universities,,TX,Houston,77204,,True,public,,#133,133,True,23,26,66,27110,3.5,2.8,,37943,3.2,1160,28312.0,1160-1330,23-29
University of Houston--Clear Lake,national-universities,University of Houston Clear Lake,TX,Houston,77058,,True,public,,#304,304,True,18,,70,26081,3.6,2.2,,6254,2.1,990,,990-1173,18-23
University of Houston--Downtown,regional-universities-west,University of Houston Downtown,TX,Houston,77002,west,True,public,,#62,62,True,16,,88,21489,3.3,,,12856,2.2,920,,920-1080,16-20
University of Houston--Victoria,regional-universities-west,University of Houston Victoria,TX,Victoria,77901,west,True,public,,#95,95,True,,,53,16941,,,,3037,< 2.0,,,N/A,N/A
University of Idaho,national-universities,,ID,Moscow,83844,,True,public,,#185,185,True,20,92,74,28052,3.5,2.2,,8809,2.7,990,26093.0,990-1250,20-27
University of Illinois--Chicago,national-universities,UIC University of Illinois Chicago,IL,Chicago,60607,,True,public,,#82,82,True,24,12,79,32833,3.5,2.7,,21807,3.1,1110,42011.0,1110-1340,24-30
University of Illinois--Springfield,regional-universities-midwest,UIS University of Illinois Springfield,IL,Springfield,62703,midwest,True,public,,#24,24,True,20,31,82,22017,3.5,,,2393,2.3,988,21539.0,988-1220,20-27
University of Illinois Urbana-Champaign,national-universities,University of Illinois Urbana Champaign,IL,Champaign,61820,,True,public,,#35,35,True,29,9,45,36068,,4.5,,35120,3.9,1340,40328.0,1340-1530,29-34
University of Indianapolis,national-universities,,IN,Indianapolis,46227,,True,private,,#304,304,True,19,,76,36136,3.5,2.3,,3613,,960,,960-1180,19-26
University of Iowa,national-universities,,IA,Iowa City,52242,,True,public,,#93,93,True,22,38,86,32927,3.8,2.8,,21973,3.6,1130,34472.0,1130-1340,22-28
University of Jamestown,regional-universities-midwest,,ND,Jamestown,58405,midwest,True,private,,#112,112,True,17,,76,24200,,< 2.0,,1097,,900,,900-1140,17-24
University of Kansas,national-universities,KU,KS,Lawrence,66045,,True,public,,#151,151,True,21,,88,28035,3.7,2.6,,19241,3.3,1090,,1090-1340,21-28
University of Kentucky,national-universities,,KY,Lexington,40506,,True,public,,#159,159,True,21,14,95,33406,3.6,2.6,,22735,3.2,1070,46983.0,1070-1290,21-28
University of La Verne,national-universities,,CA,La Verne,91750,,True,private,,#170,170,True,18,81,75,48300,3.5,,,2414,,970,50023.0,970-1303,18-25
University of Louisiana at Lafayette,national-universities,University of Louisiana Lafayette,LA,Lafayette,70504,,True,public,,#345,345,True,23,,75,24110,3.4,< 2.0,,12950,2.3,1125,,1125-1250,23-27
University of Louisiana at Monroe,national-universities,University of Louisiana Monroe,LA,Monroe,71209,,True,public,,#369,369,True,20,,72,21679,,,,6472,2.0,968,,968-1333,20-25
University of Louisville,national-universities,,KY,Louisville,40292,,True,public,,#195,195,True,19,47,80,29174,3.6,2.3,,15921,3.0,1070,38409.0,1070-1270,19-27
University of Lynchburg,national-universities,,VA,Lynchburg,24501,,True,private,,#345,345,True,21,,96,35540,,,,1589,,1000,,1000-1230,21-28
University of Maine,national-universities,UMaine,ME,Orono,04469,,True,public,,#249,249,True,22,,94,35346,3.4,2.3,,9774,2.7,1060,,1060-1280,22-30
University of Maine at Farmington,regional-colleges-north,UMaine--Farmington University of Maine Farmington,ME,Farmington,04938,north,True,public,,#11,11,False,,56,94,23079,3.2,,,1558,,990,23897.0,990-1245,N/A
University of Maine--Augusta,regional-colleges-north,UMaine--Augusta University of Maine Augusta,ME,Augusta,04330,north,True,public,,#41-44,-1,False,,,,19778,,,,4374,,,,N/A,N/A
University of Maine--Fort Kent,regional-colleges-north,UMaine--Fort Kent University of Maine Fort Kent,ME,Fort Kent,04743,north,True,public,,#35,35,True,,,99,14325,,,,1194,,,,N/A,N/A
University of Maine--Presque Isle,regional-colleges-north,UMaine--Presque Isle University of Maine Presque Isle,ME,Presque Isle,04769,north,True,public,,#36,36,True,,,100,14325,,,,1573,,,,N/A,N/A
University of Mary,national-universities,,ND,Bismarck,58504,,True,private,,#376,376,True,,,79,21062,,,,2579,,,,N/A,N/A
University of Mary Hardin-Baylor,national-universities,University of Mary Hardin Baylor,TX,Belton,76513,,True,private,,#394-435,-1,False,19,,96,33150,3.6,< 2.0,,3072,,970,,970-1200,19-27
"University of Maryland, Baltimore",special-focus-research,University of Maryland Baltimore,MD,Baltimore,21201,,True,public,,Unranked,-2,False,,,,42654,,,,930,,,,N/A,N/A
"University of Maryland, Baltimore County",national-universities,UMBC University of Maryland Baltimore County,MD,Baltimore,21250,,True,public,,#133,133,True,23,69,81,30308,3.9,2.6,,10625,,1210,35406.0,1210-1400,23-29
"University of Maryland, College Park",national-universities,UMD UMCP University of Maryland College Park,MD,College Park,20742,,True,public,,#46,46,False,30,16,44,40306,,3.8,,30353,3.8,1360,45895.0,1360-1520,30-34
"University of Maryland, Eastern Shore",national-universities,University of Maryland Eastern Shore,MD,Princess Anne,21853,,True,public,,#369,369,True,17,,81,19728,2.9,2.3,,1933,2.0,840,,840-1040,17-22
University of Maryland Global Campus,regional-universities-north,UMUC University of Maryland University College,MD,Adelphi,20783,north,True,public,,#151-167,-1,False,,,,12336,,,,45100,,,,N/A,N/A
University of Mary Washington,national-liberal-arts-colleges,,VA,Fredericksburg,22401,,True,public,,#154,154,False,25,,86,31154,3.6,,,3493,2.0,1170,,1170-1340,25-30
University of Massachusetts--Amherst,national-universities,UMass Amherst University of Massachusetts Amherst,MA,Amherst,01003,,True,public,,#67,67,True,29,30,64,39293,,3.0,,24391,3.4,1260,40079.0,1260-1480,29-33
University of Massachusetts--Boston,national-universities,UMass University of Massachusetts Boston,MA,Boston,02125,,True,public,,#216,216,True,24,,81,37211,3.4,2.9,,12221,2.7,1080,,1080-1300,24-29
University of Massachusetts--Dartmouth,national-universities,UMass University of Massachusetts Dartmouth,MA,North Dartmouth,02747,,True,public,,#209,209,True,22,24,96,30992,3.3,2.2,,5517,2.8,1020,37927.0,1020-1260,22-31
University of Massachusetts--Lowell,national-universities,UMass University of Massachusetts Lowell,MA,Lowell,01854,,True,public,,#159,159,True,25,5,86,35396,3.7,2.4,,12391,2.7,1170,33531.0,1170-1360,25-31
University of Memphis,national-universities,,TN,Memphis,38152,,True,public,,#269,269,True,17,,95,18024,3.4,2.1,,16708,2.8,930,,930-1230,17-24
University of Miami,national-universities,,FL,Coral Gables,33124,,True,private,,#67,67,True,30,36,19,59926,3.8,2.5,,12504,3.4,1310,42535.0,1310-1480,30-33
University of Michigan--Ann Arbor,national-universities,UM University of Michigan Ann Arbor,MI,Ann Arbor,48109,,True,public,,#21,21,False,31,30,18,57273,3.9,4.5,,32695,4.5,1350,39242.0,1350-1530,31-34
University of Michigan--Dearborn,regional-universities-midwest,UM University of Michigan Dearborn,MI,Dearborn,48128,midwest,True,public,,#17,17,True,22,,54,31360,3.7,2.1,,6116,2.5,1010,,1010-1290,22-28
University of Michigan--Flint,national-universities,UM University of Michigan Flint,MI,Flint,48502,,True,public,,#390,390,True,20,,66,25830,3.5,2.4,,4609,2.2,930,,930-1220,20-28
University of Minnesota Crookston,regional-colleges-midwest,University of Minnesota Crookston,MN,Crookston,56716,midwest,True,public,,#32,32,True,,,59,12412,,,,2303,,,,N/A,N/A
University of Minnesota Duluth,regional-universities-midwest,University of Minnesota Duluth,MN,Duluth,55812,midwest,True,public,,#21,21,True,22,37,81,19762,3.5,3.0,,8810,2.5,1120,26405.0,1120-1350,22-28
University of Minnesota Morris,national-liberal-arts-colleges,University of Minnesota Morris,MN,Morris,56267,,True,public,,#130,130,True,,,78,16438,3.3,,,1068,,,,N/A,N/A
"University of Minnesota, Twin Cities",national-universities,University of Minnesota Twin Cities,MN,Minneapolis,55455,,True,public,,#53,53,True,27,22,75,36402,,3.7,,39248,3.8,1290,39798.0,1290-1500,27-32
University of Mississippi,national-universities,Ole Miss,MS,University,38677,,True,public,,#163,163,True,22,28,97,26980,3.6,2.2,,17302,3.0,1030,32311.0,1030-1220,22-29
University of Missouri,national-universities,Mizzou,MO,Columbia,65211,,True,public,,#124,124,True,23,42,79,34322,,2.5,,23752,3.1,1140,31609.0,1140-1340,23-30
University of Missouri--Kansas City,national-universities,UMKC University of Missouri Kansas City,MO,Kansas City,64110,,True,public,,#269,269,True,21,,69,30734,3.5,2.7,,10190,2.7,1245,,1245-1550,21-30
University of Missouri--St. Louis,national-universities,University of Missouri St. Louis,MO,St. Louis,63121,,True,public,,#260,260,True,20,,51,31516,3.4,2.6,,12431,2.7,1040,,1040-1210,20-26
University of Mobile,regional-universities-south,,AL,Mobile,36613,south,True,private,,#76,76,True,21,,84,26120,3.6,,,1845,,1115,,1115,21-27
University of Montana,national-universities,UMT,MT,Missoula,59812,,True,public,,#361,361,True,19,,95,31622,3.3,,,7215,2.6,1080,,1080-1278,19-26
University of Montana Western,regional-colleges-west,University of Montana Western,MT,Dillon,59725,west,True,public,,#23,23,True,16,49,37,18961,3.3,,,1424,,870,28609.0,870-1210,16-23
University of Montevallo,regional-universities-south,,AL,Montevallo,35115,south,True,public,,#20,20,False,19,43,60,26730,3.6,,,2172,2.1,970,21274.0,970-1200,19-26
University of Mount Olive,regional-universities-south,,NC,Mount Olive,28365,south,True,private,,#78,78,False,16,,83,23591,,,,2085,,990,,990-1150,16-21
University of Mount Union,regional-universities-midwest,,OH,Alliance,44601,midwest,True,private,,#32,32,True,19,74,76,35400,3.5,2.1,,1889,,960,25581.0,960-1180,19-26
University of Nebraska at Kearney,regional-universities-midwest,University of Nebraska Kearney,NE,Kearney,68849,midwest,True,public,,#29,29,False,19,45,86,15920,3.6,,,4269,2.1,1000,20224.0,1000-1200,19-25
University of Nebraska -- Lincoln,national-universities,University of Nebraska Lincoln,NE,Lincoln,68588,,True,public,,#159,159,True,22,36,79,27748,3.6,2.7,,19189,3.3,1110,31540.0,1110-1340,22-28
University of Nebraska Medical Center,special-focus-research,,NE,Omaha,68198,,True,public,,Unranked,-2,False,,,,33890,,,,936,,,,N/A,N/A
University of Nebraska Omaha,national-universities,University of Nebraska Omaha,NE,Omaha,68182,,True,public,,#304,304,True,18,,86,21718,3.5,,,12026,2.6,,,N/A,18-26
"University of Nevada, Las Vegas",national-universities,UNLV University of Nevada Las Vegas,NV,Las Vegas,89154,,True,public,,#269,269,True,18,,85,26099,3.4,2.3,,25365,2.7,1000,,1000-1220,18-24
"University of Nevada, Reno",national-universities,University of Nevada Reno,NV,Reno,89557,,True,public,,#195,195,True,19,26,86,25950,3.4,2.4,,16973,2.4,1060,38958.0,1060-1300,19-26
University of New England,national-universities,UNE,ME,Biddeford,04005,,True,private,,#260,260,True,,,96,42550,3.4,,,3718,,,,N/A,N/A
University of New Hampshire,national-universities,UNH,NH,Durham,03824,,True,public,,#115,115,True,26,64,87,38882,3.6,2.3,,11480,2.9,1120,36092.0,1120-1320,26-31
University of New Hampshire at Manchester,national-liberal-arts-colleges,,NH,Manchester,03102,,True,public,,#146,146,True,,,83,34664,,,,653,,1110,,1110-1270,N/A
University of New Haven,regional-universities-north,,CT,West Haven,06516,north,True,private,,#87,87,True,,,91,45730,3.4,2.7,,4817,2.3,1090,,1090-1270,N/A
University of New Mexico,national-universities,,NM,Albuquerque,87131,,True,public,,#236,236,True,18,,96,26452,3.4,2.6,,15914,2.8,,,N/A,18-25
University of New Orleans,national-universities,,LA,New Orleans,70148,,True,public,,#394-435,-1,False,17,,70,14190,3.2,< 2.0,,5804,2.4,940,,940-1197,17-24
University of North Alabama,regional-universities-south,,AL,Florence,35632,south,True,public,,#33,33,True,19,25,75,23150,3.6,,,7492,2.2,925,30573.0,925-1223,19-26
University of North Carolina Asheville,national-liberal-arts-colleges,UNC University of North Carolina Asheville,NC,Asheville,28804,,True,public,,#139,139,True,21,,74,24809,3.5,2.4,,2914,2.0,1140,,1140-1330,21-28
University of North Carolina at Chapel Hill,national-universities,UNC University of North Carolina Chapel Hill,NC,Chapel Hill,27599,,True,public,,#22,22,True,30,28,17,39338,,3.0,,20210,4.2,1350,22109.0,1350-1530,30-34
University of North Carolina at Greensboro,national-universities,UNC University of North Carolina Greensboro,NC,Greensboro,27402,,True,public,,#216,216,True,22,1,92,22539,3.6,,,14198,2.7,1110,29849.0,1110-1280,22-27
University of North Carolina--Charlotte,national-universities,UNC University of North Carolina Charlotte,NC,Charlotte,28223,,True,public,,#178,178,True,20,27,80,21338,3.6,2.4,,23461,3.0,1070,31947.0,1070-1290,20-26
University of North Carolina--Pembroke,regional-universities-south,UNC University of North Carolina Pembroke,NC,Pembroke,28372,south,True,public,,#45,45,True,16,,90,7496,3.5,,,5643,2.0,935,,935-1095,16-21
University of North Carolina School of the Arts,specialty-arts,,NC,Winston-Salem,27127,,True,public,,Unranked,-2,False,,,30,26622,,,,938,,,,N/A,N/A
University of North Carolina--Wilmington,national-universities,UNC University of North Carolina Wilmington,NC,Wilmington,28403,,True,public,,#201,201,True,24,5,69,22985,3.9,,,14294,2.4,1220,37969.0,1220-1370,24-29
University of North Dakota,national-universities,,ND,Grand Forks,58202,,True,public,,#236,236,True,20,,83,15570,3.6,2.1,,9928,2.4,1090,,1090-1280,20-26
University of Northern Colorado,national-universities,,CO,Greeley,80639,,True,public,,#352,352,True,20,,84,26204,3.5,,,6728,2.2,990,,990-1200,20-27
University of Northern Iowa,regional-universities-midwest,,IA,Cedar Falls,50614,midwest,True,public,,#11,11,True,20,21,95,21272,3.6,,,7739,2.3,1020,27578.0,1020-1330,20-26
University of North Florida,national-universities,,FL,Jacksonville,32224,,True,public,,#236,236,True,18,,71,20107,3.6,2.5,,14171,2.3,1010,,1010-1220,18-25
University of North Georgia,regional-universities-south,,GA,Dahlonega,30597,south,True,public,,#41,41,True,19,13,69,21170,3.6,,,17256,2.2,1010,33941.0,1010-1200,19-25
University of North Texas,national-universities,,TX,Denton,76203,,True,public,,#260,260,True,19,,79,24644,,2.1,,33024,2.6,1000,,1000-1240,19-27
University of North Texas at Dallas,regional-universities-west,,TX,Dallas,75241,west,True,public,,#44,44,True,14,2,94,22117,3.3,,,3001,,840,29654.0,840-1044,14-20
University of Northwestern Ohio,regional-colleges-midwest,,OH,Lima,45805,midwest,True,private,,#64,64,True,,,,12470,,,,2687,,,,N/A,N/A
University of Northwestern--St. Paul,regional-universities-midwest,,MN,St. Paul,55113,midwest,True,private,,#45,45,False,21,75,93,36830,3.6,< 2.0,,3161,,1016,27355.0,1016-1311,21-28
University of Notre Dame,national-universities,Notre Dame,IN,Notre Dame,46556,,True,private,,#20,20,False,32,46,13,62693,,3.3,,8971,4.0,1420,29317.0,1420-1550,32-35
University of Oklahoma,national-universities,,OK,Norman,73019,,True,public,,#124,124,True,23,15,73,25880,3.7,2.5,,21294,3.2,1130,40848.0,1130-1330,23-29
University of Oklahoma Health Sciences Center,special-focus-research,,OK,Oklahoma City,73190,,True,public,,Unranked,-2,False,,,,24731,,,,853,,,,N/A,N/A
The University of Olivet,regional-colleges-midwest,,MI,Olivet,49076,midwest,True,private,,#38,38,False,18,,89,33076,,,,851,,910,,910-1120,18-23
University of Oregon,national-universities,,OR,Eugene,97403,,True,public,,#98,98,True,24,12,86,41194,3.8,,,19565,3.4,1140,51160.0,1140-1370,24-30
University of Pennsylvania,national-universities,UPenn,PA,Philadelphia,19104,,True,private,,#6,6,False,34,44,7,66104,3.9,3.8,,9760,4.7,1500,27506.0,1500-1570,34-35
University of Pikeville,national-universities,Pikeville College,KY,Pikeville,41501,,True,private,,#395-435,-1,False,17,,76,24150,3.5,,,1483,,940,,940-1200,17-23
University of Pittsburgh,national-universities,Pitt,PA,Pittsburgh,15260,,True,public,,#67,67,True,29,,49,39890,3.9,3.1,,19928,3.5,1280,,1280-1470,29-33
University of Pittsburgh at Bradford,regional-colleges-north,,PA,Bradford,16701,north,True,public,,#20,20,True,18,,96,26494,3.3,,,1074,,980,,980-1200,18-29
University of Pittsburgh at Greensburg,national-liberal-arts-colleges,,PA,Greensburg,15601,,True,public,,#186-204,-1,False,18,,91,26504,,,,1306,,1030,,1030-1210,18-25
University of Pittsburgh at Johnstown,regional-colleges-north,,PA,Johnstown,15904,north,True,public,,#12,12,True,19,,97,26520,3.6,2.3,,2039,,,,N/A,19-28
University of Portland,regional-universities-west,UP,OR,Portland,97203,west,True,private,,#2,2,False,27,44,93,54900,3.4,3.1,,3374,2.6,1220,36616.0,1220-1410,27-31
University of Providence,regional-universities-west,,MT,Great Falls,59401,west,True,private,,#98,98,True,17,,100,27456,,,,665,,1140,,1140-1280,17-23
University of Puerto Rico--Aguadilla,regional-colleges-south,University of Puerto Rico Aguadilla,PR,Aguadilla,00604,south,True,public,,#52,52,True,,,77,5954,,,,1985,,863,,863-1088,N/A
University of Puerto Rico--Arecibo,regional-colleges-south,University of Puerto Rico Arecibo,PR,Arecibo,00614,south,True,public,,#34,34,True,,,60,5324,3.8,,,2897,,,,N/A,N/A
University of Puerto Rico--Bayamon,regional-colleges-south,University of Puerto Rico Bayamon University College,PR,Bayamon,00959,south,True,public,,#81,81,True,,,31,6884,,,,3022,,,,N/A,N/A
University of Puerto Rico--Cayey,national-liberal-arts-colleges,University of Puerto Rico Cayey University College,PR,Cayey,00736,,True,public,,#167,167,True,,,48,5354,,,,2559,,905,,905-1131,N/A
University of Puerto Rico--Humacao,regional-colleges-south,University of Puerto Rico Humacao,PR,Humacao,00792,south,True,public,,#33,33,True,,,50,5364,,,,2848,,,,N/A,N/A
University of Puerto Rico--Mayaguez,regional-universities-south,University of Puerto Rico Mayaguez,PR,Mayaguez,00681,south,True,public,,#47,47,True,,,49,5274,,3.3,,11246,,,,N/A,N/A
University of Puerto Rico--Ponce,regional-colleges-south,University of Puerto Rico Ponce,PR,Ponce,00732,south,True,public,,#52,52,True,,,49,5354,,,,2262,,,,N/A,N/A
University of Puerto Rico--Rio Piedras,national-universities,University of Puerto Rico Rio Piedras,PR,Rio Piedras,00931,,True,public,,#320,320,True,,,50,2168,,,,10207,2.0,,,N/A,N/A
University of Puerto Rico--Utuado,regional-colleges-south,,PR,Utuado,00641,south,True,public,,#91-99,-1,False,,,63,5354,,,,457,,,,N/A,N/A
University of Puget Sound,national-liberal-arts-colleges,,WA,Tacoma,98416,,True,private,,#89,89,True,26,51,83,59900,3.5,,,1712,,1170,34748.0,1170-1390,26-32
University of Redlands,regional-universities-west,,CA,Redlands,92373,west,True,private,,#7,7,True,25,,82,55678,3.8,,,2312,,1113,,1113-1278,25-30
University of Rhode Island,national-universities,URI,RI,Kingston,02881,,True,public,,#151,151,True,25,69,76,35804,3.6,2.3,,13927,2.8,1050,39468.0,1050-1270,25-30
University of Richmond,national-liberal-arts-colleges,,VA,Univ. of Richmond,23173,,True,private,,#25,25,True,32,37,24,62600,3.8,,,3145,2.9,1400,26191.0,1400-1530,32-34
University of Rio Grande,regional-colleges-midwest,,OH,Rio Grande,45674,midwest,True,private,,#62,62,True,,,,20060,,,,1850,,,,N/A,N/A
University of Rochester,national-universities,,NY,Rochester,14627,,True,private,,#47,47,True,31,48,39,64384,3.8,2.8,,6767,3.5,1390,32137.0,1390-1540,31-34
University of Saint Francis,regional-universities-midwest,University of St Francis University of Saint Francis,IN,Fort Wayne,46808,midwest,True,private,,#76,76,True,18,81,98,35420,3.3,,,1576,,930,26187.0,930-1130,18-24
University of Saint Joseph,regional-universities-north,St Joseph College Saint Joseph College,CT,West Hartford,06117,north,True,private,,#80,80,True,,86,75,45908,3.5,,,831,,1070,34457.0,1070-1275,N/A
University of Saint Katherine,regional-colleges-west,,CA,San Marcos,92069,west,True,private,,#45-48,-1,False,,,66,28800,3.5,,,204,,,,N/A,N/A
University of Saint Mary,regional-universities-midwest,University of St Mary University of Saint Mary,KS,Leavenworth,66048,midwest,True,private,,#95,95,True,16,,82,33890,3.3,,,903,,935,,935-1066,16-23
University of San Diego,national-universities,,CA,San Diego,92110,,True,private,,#98,98,True,,52,53,56444,3.9,3.5,,5669,3.1,,35440.0,N/A,N/A
University of San Francisco,national-universities,USF,CA,San Francisco,94117,,True,private,,#115,115,True,27,62,71,58222,3.7,,,6018,2.8,1210,45678.0,1210-1410,27-31
University of Science and Arts of Oklahoma,national-liberal-arts-colleges,,OK,Chickasha,73018,,True,public,,#186-204,-1,False,,,56,19470,,,,825,,,,N/A,N/A
University of Scranton,regional-universities-north,,PA,Scranton,18510,north,True,private,,#5,5,False,25,60,84,52034,3.5,2.0,,3593,2.5,1150,53888.0,1150-1320,25-31
University of Silicon Valley,regional-colleges-west,,CA,San Jose,95134,west,True,proprietary,,#14,14,False,,57,65,27850,2.8,,,379,,850,37177.0,850-1010,N/A
University of Sioux Falls,regional-universities-midwest,,SD,Sioux Falls,57105,midwest,True,private,,#76,76,True,19,62,76,20740,3.5,,,1325,,1010,22608.0,1010-1130,19-25
University of South Alabama,national-universities,,AL,Mobile,36688,,True,public,,#382,382,True,20,,65,22640,,< 2.0,,8491,2.3,1003,,1003-1200,20-26
