institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,institution.primaryPhotoCardThumb,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Art Academy of Cincinnati,specialty-arts,,OH,Cincinnati,45202,,True,private,,Unranked,-2,False,,,100,37394,,,,234,,,,N/A,N/A
ArtCenter College of Design,regional-universities-west,,CA,Pasadena,91103,west,True,private,,#26,26,False,,,76,49942,,,,2028,,,,N/A,N/A
Art Institute of Atlanta,regional-colleges-south,,GA,Atlanta,30328,south,True,proprietary,,#91-99,-1,False,,,,20794,,,,586,,,,N/A,N/A
Art Institute of Houston,regional-colleges-west,,TX,Houston,77056,west,True,proprietary,,#41,41,False,,,,20794,,,,386,,,,N/A,N/A
Asbury University,regional-universities-south,,KY,Wilmore,40390,south,True,private,,#24,24,True,20,69,96,33640,3.8,,,1404,,1060,24696.0,1060-1320,20-27
Ashland University,regional-universities-midwest,,OH,Ashland,44805,midwest,True,private,,#35,35,True,20,73,60,28910,3.6,,,5109,,1073,25514.0,1073-1250,20-26
Aspen University,health,,CO,Phoenix,,,True,proprietary,,Unranked,-2,False,,,,5355,,,,6385,,,,N/A,N/A
Assumption University,regional-universities-north,,MA,Worcester,01609,north,True,private,,#54,54,True,,75,82,49414,3.5,,,1705,,,34954.0,N/A,N/A
Atenas College,health,,PR,Manati,,,True,private,,Unranked,-2,False,,,,8198,,,,574,,,,N/A,N/A
Atlanta Metropolitan State College,regional-colleges-south,,GA,Atlanta,30310,south,True,public,,Unranked,-2,False,,,,9731,,,,1605,,,,N/A,N/A
Auburn University,national-universities,AU,AL,Auburn,36849,,True,public,,#93,93,True,25,15,44,33944,,3.1,,25379,3.3,1240,43795.0,1240-1390,25-31
Auburn University at Montgomery,regional-universities-south,Auburn University Montgomery Auburn University Montgomery,AL,Montgomery,36124,south,True,public,,#63,63,True,18,20,92,25000,3.4,,,3757,2.4,990,25140.0,990-1200,18-25
Augsburg University,regional-universities-midwest,,MN,Minneapolis,55454,midwest,True,private,,#17,17,True,17,,77,42064,,,,2358,,1188,,1188-1376,17-24
Augustana College,national-liberal-arts-colleges,,IL,Rock Island,61201,,True,private,,#100,100,True,21,66,61,49834,3.4,,,2318,,1020,31866.0,1020-1250,21-28
Augustana University,regional-universities-midwest,,SD,Sioux Falls,57197,midwest,True,private,,#17,17,True,21,55,66,39190,3.7,,,1831,,1110,23892.0,1110-1325,21-28
Augusta University,national-universities,,GA,Augusta,30912,,True,public,,#332,332,True,19,,86,22270,,,,5396,2.1,,,N/A,19-26
Aultman College of Nursing and Health Sciences,health,,OH,Canton,,,True,private,,Unranked,-2,False,,,32,19310,,,,259,,,,N/A,N/A
Aurora University,national-universities,,IL,Aurora,60506,,True,private,,#303,303,True,19,,86,27420,,,,4114,,960,,960-1130,19-24
Austin College,national-liberal-arts-colleges,,TX,Sherman,75090,,True,private,,#93,93,True,23,65,55,46025,3.6,,,1169,,1130,25948.0,1130-1360,23-29
Austin Community College District,unranked,,TX,,,,True,public,,Unranked,-2,False,,,,10590,,,,35609,,,,N/A,N/A
Austin Peay State University,regional-universities-south,,TN,Clarksville,37044,south,True,public,,#33,33,True,18,,94,14305,3.3,2.0,,8120,,,,N/A,18-24
Ave Maria University,national-liberal-arts-colleges,,FL,Ave Maria,34142,,True,private,,#182,182,True,,,44,28224,,,,1251,,,,N/A,N/A
Averett University,regional-colleges-south,,VA,Danville,24541,south,True,private,,#15,15,True,17,74,76,38550,3,,,1122,,910,27647.0,910-1155,17-22
Avila University,regional-universities-midwest,,MO,Kansas City,64145,midwest,True,private,,#109,109,True,17,,68,22390,,,,1024,,933,,933-1160,17-23
Azusa Pacific University,national-universities,,CA,Azusa,91702,,True,private,,#236,236,True,23,,87,42330,3.8,2.1,,2588,,1045,,1045-1280,23-28
Babson College,specialty-business,,MA,Babson Park,02457,,True,private,,Unranked,-2,False,,,22,56032,,,,2761,3.5,,,N/A,N/A
Bacone College,regional-colleges-west,,OK,Muskogee,74403,west,True,private,,#45-48,-1,False,14,,55,15060,,,,266,,938,,938-1033,14-17
Baker College,regional-universities-midwest,,MI,Owosso,48867,midwest,True,private,,#149-164,-1,False,,,37,12710,3.2,< 2.0,,3778,,,,N/A,N/A
Bakersfield College,regional-colleges-west,,CA,Bakersfield,93305,west,True,public,,Unranked,-2,False,,,,9560,,,,24479,,,,N/A,N/A
Baker University,national-universities,,KS,Baldwin City,66006,,True,private,,#345,345,True,17,,92,33800,3.3,,,1187,,1000,,1000-1200,17-23
Baldwin Wallace University,regional-universities-midwest,Baldwin Wallace College,OH,Berea,44017,midwest,True,private,,#6,6,True,20,70,77,37538,,,,2744,,1043,31120.0,1043-1298,20-27
Ball State University,national-universities,,IN,Muncie,47306,,True,public,,#216,216,True,23,19,69,28766,3.6,,,14416,2.7,1090,37806.0,1090-1260,23-28
Baptist Bible College,faith,,MO,Springfield,65803,,True,private,,Unranked,-2,False,,,,15690,,,,236,,,,N/A,N/A
Baptist College of Florida,regional-colleges-south,,FL,Graceville,32440,south,True,private,,#14,14,False,17,,100,12450,,,,405,,930,,930-1200,17-23
Baptist Health Sciences University,health,,TN,Memphis,38104,,True,private,,Unranked,-2,False,,,35,13078,,,,910,,,,N/A,N/A
Baptist Missionary Association Theological Seminary,faith,,TX,Jacksonville,75766,,True,private,,Unranked,-2,False,,,85,8850,,,,51,,,,N/A,N/A
Barclay College,regional-colleges-midwest,,KS,Haviland,,midwest,True,private,,#48,48,False,,,54,24990,,,,168,,,,N/A,N/A
Bard College,national-liberal-arts-colleges,,NY,Annandale on Hudson,12504,,True,private,,#72,72,False,,,60,60270,,,,2171,,,,N/A,N/A
Bard College at Simon's Rock,regional-colleges-north,Bard College at Simons Rock,MA,Great Barrington,01230,north,True,private,,#32,32,True,,,34,66594,,,,304,,,,N/A,N/A
Barnard College,national-liberal-arts-colleges,,NY,New York,10027,,True,private,,#11,11,True,32,,9,66246,,,,3442,,1440,,1440-1550,32-34
Barry University,national-universities,,FL,Miami Shores,33161,,True,private,,#395-435,-1,False,17,,60,32500,,,,3122,2.0,880,,880-1070,17-22
Barton College,regional-colleges-south,,NC,Wilson,27893,south,True,private,,#10,10,True,17,79,95,35600,3.2,,,1187,,970,25620.0,970-1150,17-23
Bates College,national-liberal-arts-colleges,,ME,Lewiston,04240,,True,private,,#24,24,False,31,40,14,63478,,,,1790,,1310,27515.0,1310-1505,31-33
Bayamon Central University,regional-universities-south,,PR,Bayamon,00960,south,True,private,,#123-135,-1,False,,,98,5594,,,,759,,,,N/A,N/A
Baylor University,national-universities,,TX,Waco,76798,,True,private,,#93,93,True,28,45,46,54844,,2.5,,15213,3.3,1230,43735.0,1230-1410,28-33
Bay Path University,regional-universities-north,,MA,Longmeadow,01106,north,True,private,,#123,123,True,,,75,37227,,,,1338,,1020,,1020-1140,N/A
Bay State College,regional-colleges-north,,MA,Boston,02116,north,True,proprietary,,#41-44,-1,False,,,50,2900,,,,346,,,,N/A,N/A
Beacon College,regional-colleges-south,,FL,Leesburg,34748,south,True,private,,#3,3,True,,,52,47110,3.3,,,501,,,,N/A,N/A
Belhaven University,national-universities,,MS,Jackson,39202,,True,private,,#395-435,-1,False,18,,46,29195,3.5,,,1501,,980,,980-1200,18-24
Bellarmine University,national-universities,,KY,Louisville,40205,,True,private,,#280,280,True,21,,88,46780,3.6,,,2343,2.1,1100,,1100-1290,21-27
Bellevue College,regional-colleges-west,,WA,Bellevue,98007,west,True,public,,Unranked,-2,False,,,,9838,,,,11546,,,,N/A,N/A
Bellevue University,regional-universities-midwest,,NE,Bellevue,68005,midwest,True,private,,#149-164,-1,False,,,,8790,,,,8903,,,,N/A,N/A
Bellin College,health,,WI,Green Bay,54305,,True,private,,Unranked,-2,False,,,85,21900,,,,514,,,,N/A,N/A
Bellingham Technical College,regional-colleges-west,,WA,Bellingham,98225,west,True,public,,Unranked,-2,False,,,,5357,,,,1915,,,,N/A,N/A
Belmont Abbey College,regional-colleges-south,,NC,Belmont,28012,south,True,private,,#30,30,True,18,54,97,19500,3.2,,,1475,,950,24090.0,950-1140,18-26
Belmont University,national-universities,,TN,Nashville,37212,,True,private,,#236,236,True,24,,96,41320,3.8,,,7376,2.5,1150,,1150-1340,24-30
Beloit College,national-liberal-arts-colleges,,WI,Beloit,53511,,True,private,,#86,86,True,26,67,66,58554,3.3,,,964,,1190,26988.0,1190-1360,26-31
